All_Poverty,M_Poverty,F_Poverty,FIPS,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,fips_x,Incidence_Rate,Avg_Ann_Incidence,fips_y,Mortality_Rate,Avg_Ann_Deaths
8594,3519,5075,5091,40317.0,46144.0,27182.0,,,41029.0,17114,3465,18108,3769,35222,7234,5091,81.2,41.0,5091,73.1,36.0
11781,4964,6817,5093,34612.0,41279.0,25317.0,,31765.0,27438.0,17754,3431,19318,3527,37072,6958,5093,73.6,36.0,5093,70.2,34.0
2501,1078,1423,5095,27647.0,36352.0,15625.0,,,,3037,567,3412,620,6449,1187,5095,89.5,11.0,5095,70.9,9.0
1620,728,892,5097,33037.0,33771.0,,80486.0,,63056.0,3605,881,3865,705,7470,1586,5097,67.5,11.0,5097,50.4,8.0
2424,1176,1248,5099,30691.0,37540.0,24136.0,18173.0,,,3408,824,3731,631,7139,1455,5099,69.2,9.0,5099,76.1,10.0
1637,648,989,5101,34536.0,34583.0,,58281.0,,,3470,553,3379,594,6849,1147,5101,63.9,9.0,5101,64.9,9.0
5948,2211,3737,5103,31293.0,42348.0,21455.0,,,20208.0,10245,1311,11605,1487,21850,2798,5103,84.0,30.0,5103,55.8,20.0
1624,509,1115,5105,42346.0,43539.0,,,,,4607,478,4566,527,9173,1005,5105,98.8,14.0,5105,78.5,11.0
6882,2991,3891,5107,26844.0,43491.0,20277.0,,,,7585,1824,9003,1794,16588,3618,5107,88.1,23.0,5107,90.8,23.0
2199,999,1200,5109,33097.0,33968.0,,,,19917.0,4360,993,4734,847,9094,1840,5109,87.8,13.0,5109,63.5,10.0
5416,2410,3006,5111,33070.0,35219.0,18276.0,26635.0,,22039.0,9578,2099,10369,1842,19947,3941,5111,114.0,36.0,5111,103.5,33.0
4878,2389,2489,5113,33702.0,34098.0,,,,29545.0,8138,1727,8596,1765,16734,3492,5113,67.1,22.0,5113,57.8,18.0
11818,5525,6293,5115,39810.0,40302.0,37102.0,35536.0,63233.0,32760.0,26407,4371,27067,4343,53474,8714,5115,86.3,59.0,5115,72.5,49.0
1766,775,991,5117,35833.0,39059.0,23333.0,,,,3510,522,3650,570,7160,1092,5117,89.0,12.0,5117,71.7,9.0
67908,30871,37037,5119,46140.0,56369.0,31768.0,34158.0,62254.0,33789.0,155362,28215,177974,23280,333336,51495,5119,68.0,277.0,5119,54.7,223.0
3651,1897,1754,5121,34044.0,34327.0,,,,13348.0,7056,1477,7688,1129,14744,2606,5121,83.9,21.0,5121,69.9,18.0
5857,2661,3196,5123,32105.0,36982.0,25924.0,,,20333.0,9159,2301,10761,1502,19920,3803,5123,65.2,20.0,5123,54.4,16.0
10176,4896,5280,5125,55817.0,57215.0,43631.0,28546.0,58375.0,51443.0,48403,6658,52131,5374,100534,12032,5125,73.9,100.0,5125,52.0,69.0
2165,1061,1104,5127,37321.0,37788.0,,,66250.0,34079.0,4655,872,4639,631,9294,1503,5127,91.5,15.0,5127,63.5,10.0
1855,986,869,5129,33083.0,33300.0,,15682.0,,40313.0,3284,668,3306,618,6590,1286,5129,72.1,10.0,5129,65.9,9.0
28975,12570,16405,5131,38575.0,40849.0,21563.0,44592.0,42732.0,29090.0,52036,9869,54137,10109,106173,19978,5131,78.2,108.0,5131,62.1,85.0
3755,1807,1948,5133,36579.0,38305.0,22824.0,,,29724.0,6695,1825,6927,1633,13622,3458,5133,70.4,12.0,5133,60.4,10.0
3944,1700,2244,5135,30691.0,30665.0,,32188.0,243750.0,,6873,1357,7332,1315,14205,2672,5135,89.3,26.0,5135,69.1,21.0
3042,1414,1628,5137,29264.0,29322.0,,,,,5402,908,5237,859,10639,1767,5137,66.5,14.0,5137,58.2,12.0
8172,3577,4595,5139,38678.0,48060.0,26845.0,33571.0,71339.0,30792.0,16488,2920,17939,2885,34427,5805,5139,89.0,46.0,5139,71.6,38.0
3574,1438,2136,5141,32312.0,32155.0,,,,36042.0,6656,1663,7101,1386,13757,3049,5141,65.1,19.0,5141,57.5,17.0
41846,19505,22341,5143,43524.0,46302.0,31528.0,27794.0,50938.0,36705.0,89087,18167,92453,14933,181540,33100,5143,67.1,119.0,5143,52.7,91.0
14175,6412,7763,5145,42554.0,43432.0,24738.0,,,23924.0,32331,6006,34463,5243,66794,11249,5145,91.2,81.0,5145,69.6,61.0
1612,740,872,5147,28993.0,31193.0,20863.0,,,,2662,686,2965,550,5627,1236,5147,108.5,11.0,5147,64.9,7.0
4009,1862,2147,5149,37804.0,38631.0,,90893.0,25671.0,36282.0,8865,1837,9456,1380,18321,3217,5149,88.1,24.0,5149,76.0,21.0
25852,12854,12998,4001,31757.0,42488.0,31761.0,25600.0,59632.0,34178.0,25743,9201,28542,7852,54285,17053,4001,22.9,16.0,4001,17.7,12.0
21102,8595,12507,4003,45075.0,46090.0,66734.0,,61761.0,35446.0,47589,6771,55718,6614,103307,13385,4003,46.9,84.0,4003,37.0,65.0
28824,13662,15162,4005,50234.0,55850.0,29613.0,37171.0,34792.0,46345.0,53505,13515,57656,11293,111161,24808,4005,36.7,39.0,4005,25.6,26.0
11839,5365,6474,4007,39751.0,40745.0,,26274.0,82847.0,40048.0,21863,4070,22671,3830,44534,7900,4007,54.3,52.0,4007,43.8,42.0
7446,3377,4069,4009,45964.0,47676.0,,27984.0,69010.0,46223.0,13834,2323,15164,2098,28998,4421,4009,45.5,16.0,4009,33.8,12.0
1215,538,677,4011,51628.0,48375.0,100682.0,90446.0,,46000.0,4139,584,3643,617,7782,1201,4011,64.0,6.0,4011,41.8,4.0
3824,1851,1973,4012,34466.0,35247.0,,30083.0,,36610.0,8733,1429,8625,1321,17358,2750,4012,54.4,25.0,4012,37.7,18.0
673527,313707,359820,4013,54229.0,56337.0,39059.0,41137.0,70947.0,40294.0,1633881,332342,1747583,275016,3381464,607358,4013,52.2,2059.0,4013,37.2,1463.0
38874,18410,20464,4015,38488.0,38500.0,30859.0,36111.0,56756.0,32186.0,79661,16608,86521,14132,166182,30740,4015,76.6,280.0,4015,59.1,216.0
32141,15025,17116,4017,35921.0,45641.0,,24805.0,42396.0,33107.0,41839,10188,44822,8626,86661,18814,4017,39.6,46.0,4017,31.0,35.0
187250,86251,100999,4019,46162.0,48801.0,36278.0,29877.0,45337.0,36745.0,404930,70973,444390,59712,849320,130685,4019,50.9,628.0,4019,37.3,464.0
